"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DPROGTYP","Programme orientation","DMODETYP","Intensity of participation","DINSTTYP","Type of institution","DSEX","Gender","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,1721391.99,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,1729724.99,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,2606269,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,2640241,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,2704321,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,2733590,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,2759137,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,2732428,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,2792254,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,2821180,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,2829681,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,2844592,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,2860871,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,2884291,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,2907247,,
"BEL","Belgium","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,2936716,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,7057997.06,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,7039833,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,7047205,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,7147318,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,6486632,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,0,"m","Missing value"
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,6933139,,
"CAN","Canada","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,6949942,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,2229892,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,2186798,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,2204846,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,2219946,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,2219992,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,2214713,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,2222331,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,2200338,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,2153309,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,2142993,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,2148802,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,2152977,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,2158120,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,2154061,,
"CZE","Czech Republic","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,2140261,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,1215980,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,1238910,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,1258264,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,1280046,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,1296767,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,1311225,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,1377411,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,1397896,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,1394834,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,1406558,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,1402521,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,1411190,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,1436855,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,1473470,,
"DNK","Denmark","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,1499628,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,1219615,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,1250158,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,1278973,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,1309645,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,1318610,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,1330292,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,1345235,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,1377334,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,1386313,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,1394546,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,1398153,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,1388187,,
